so_cau,dap_an
1,2
2,2
3,1
4,2
5,4
6,1
7,1
8,2
9,1
10,3
11,3
12,3
13,2
14,2
15,2
16,1
17,1
18,3
19,2
20,3
21,3
22,2
23,3
24,1
25,3
26,1
27,4
28,3
29,2
30,3
31,2
32,3
33,3
34,2
35,4
36,3
37,3
38,1
39,2
40,1
41,3
42,1
43,2
44,1
45,3
46,2
47,2
48,3
49,2
50,1
51,3
52,1
53,1
54,3
55,1
56,4
57,2
58,4
59,3
60,2
61,2
62,2
63,4
64,1
65,1
66,4
67,4
68,1
69,1
70,4
71,3
72,2
73,3
74,2
75,2
76,1
77,1
78,2
79,2
80,3
81,2
82,1
83,1
84,2
85,3
86,3
87,1
88,4
89,2
90,1
91,3
92,2
93,1
94,2
95,4
96,1
97,3
98,1
99,1
100,3
101,1
102,4
103,1
104,3
105,1
106,2
107,4
108,3
109,3
110,1
111,1
112,2
113,3
114,3
115,3
116,2
117,4
118,1
119,3
120,1
121,3
122,1
123,3
124,1
125,2
126,2
127,3
128,2
129,1
130,2
131,2
132,3
133,3
134,2
135,2
136,3
137,1
138,2
139,3
140,3
141,2
142,2
143,1
144,1
145,3
146,2
147,2
148,2
149,1
150,3
151,2
152,1
153,2
154,3
155,1
156,2
157,1
158,2
159,1
160,3
161,1
162,2
163,3
164,1
165,2
166,3
167,3
168,1
169,2
170,1
171,2
172,3
173,2
174,1
175,3
176,2
177,2
178,2
179,3
180,1
181,1
182,1
183,3
184,1
185,3
186,1
187,1
188,3
189,1
190,1
191,2
192,3
193,1
194,2
195,2
196,3
197,2
198,1
199,1
200,2
201,1
202,3
203,3
204,2
205,3
206,1
207,2
208,2
209,1
210,1
211,2
212,1
213,1
214,2
215,2
216,3
217,3
218,1
219,3
220,2
221,2
222,2
223,2
224,1
225,3
226,2
227,2
228,1
229,2
230,3
231,1
232,2
233,3
234,2
235,1
236,1
237,2
238,1
239,3
240,1
241,1
242,2
243,3
244,2
245,2
246,2
247,1
248,2
249,1
250,3
